movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20247499,(로컬 픽: 시간과 빛) 얼굴들 사람들,,2024.0,,옴니버스,기타,한국,다큐멘터리,한국,다큐멘터리
20247498,EIDF2023 특별상영회 EIDF 단편화첩,,2024.0,,옴니버스,기타,기타,다큐멘터리,기타,다큐멘터리
20213012,이사,Home,2021.0,,단편,기타,한국,다큐멘터리,한국,다큐멘터리
20209461,입천장 까지도록 와그작,,2020.0,,장편,기타,한국,기타,한국,기타
20247517,부부교환 : 자매의 스와핑 무삭제,,2023.0,,장편,기타,한국,멜로/로맨스,한국,멜로/로맨스
20247520,스와핑 : 형수와 제수씨 무삭제,,2023.0,,장편,기타,한국,멜로/로맨스,한국,멜로/로맨스
20247518,향유고래,Sperm Whale,2016.0,,장편,기타,한국,"미스터리,드라마,가족",한국,미스터리
20226892,비밀수업,The Secret Class,2022.0,,장편,기타,한국,"드라마,스릴러",한국,드라마
20219355,윤슬은 언제나 반짝,,2019.0,,단편,기타,한국,다큐멘터리,한국,다큐멘터리
20247495,미남씨는 짝사랑중,,2023.0,,단편,기타,한국,"가족,코미디,멜로/로맨스",한국,가족
20247494,주방장과 배꼽 맞춘 유부녀 알바,,2022.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247513,흉내,Imitation,2023.0,,단편,기타,한국,드라마,한국,드라마
20124922,"때리지 말아요, 제발!","Please Don't Beat Me, Sir!",2011.0,,장편,기타,"인도,미국",다큐멘터리,인도,다큐멘터리
20112503,땅에 전하는 수상한 소문,"Strange Sound of the Land Being Opened in a Furrow, The",2011.0,,단편,기타,멕시코,다큐멘터리,멕시코,다큐멘터리
20110348,땅,Farmland,2011.0,,단편,기타,한국,다큐멘터리,한국,다큐멘터리
20110416,딥 그린 - 온난화를 막아라!,Deep Green - Solutions to Stop Global Warming Now,2010.0,,장편,기타,미국,"다큐멘터리,애니메이션",미국,다큐멘터리
20072083,디지토피아,Digitopia,2001.0,,단편,기타,한국,드라마,한국,드라마
20113797,디지털 삼인삼색 2011: 어느 아침의 기억,Jeonju Digital Project 2011: Memories of a Morning,2011.0,,장편,기타,"한국,스페인","다큐멘터리,드라마",한국,다큐멘터리
20111234,디지털 만화로의 모험,Adventures Into Digital Comics,2006.0,,장편,기타,미국,다큐멘터리,미국,다큐멘터리
20135629,디 럭키 원스!,D' Lucky ones!,2006.0,,장편,기타,필리핀,코미디,필리핀,코미디
20080347,들고양이,The Wildcat,1921.0,,장편,기타,독일,코미디,독일,코미디
20060674,드리프트,Drift,1999.0,,단편,기타,한국,드라마,한국,드라마
20112484,드래곤슬레이어,Dragonslayer,2011.0,,장편,기타,미국,다큐멘터리,미국,다큐멘터리
20136440,드래곤볼 Z 극장판 1,DRAGON BALL THE MOVIES 1,1989.0,,장편,기타,일본,애니메이션,일본,애니메이션
